Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,
,,,,,,,,,,,,
"Effective July 1, 2026 through September 30, 2026",,,,,,,,,,,,
,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q26 ASP data.,,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
90371,Hep b ig im,1 ML,136.952,20.000,,,,,,,,
90375,Rabies ig im/sc,150 IU,281.185,20.000,,,,,,,,
90377,Rabies ig ht&sol human im/sc,150 IU,243.198,20.000,,,,,,,,
90632,Hepa vaccine adult im,1 ML,75.735,20.000,,,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ML,98.160,0.000,95,98.160,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90656,IIV3 VACC NO PRSV 0.5 ML IM,0.5 ML,23.215,0.000,95,23.215,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90657,IIV3 VACCINE SPLT 0.25 ML IM,0.25 ML,11.034,0.000,95,11.034,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90658,IIV3 VACCINE SPLT 0.5 ML IM,0.5 ML,22.069,0.000,95,22.069,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90660,LAIV3 Vaccine Intranasal ,0.2 ML,29.714,0.000,95,29.714,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90661,CCIIV3 VACCINE NO PRSC 0.5ML IM,0.5 ML,49.495,0.000,95,49.495,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90662,Iiv no prsv increased ag im,0.5 ML,98.160,0.000,95,98.160,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90671,PCV15 vaccine IM,1 EA,269.306,0.000,95,269.306,,,,,,
90673,Riv3 vaccine no preserv im,0.5 ML,98.160,0.000,95,98.160,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,,
90675,Rabies vaccine im,1 ML,331.977,20.000,,,,,,,,
90677,Pcv20 vaccine im,0.5 ML,341.001,0.000,95,341.001,,,,,,
90684,PCV21 VACCINE IM,0.5 ML,344.252,0.000,95,344.252,,,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,40.664,20.000,,,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,40.290,20.000,,,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,133.472,0.000,95,133.472,,,,,,
90739,Hepb vacc 2 dose adult im,1 DOSE,188.210,0.000,95,188.210,,,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,170.943,0.000,95,170.943,,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,75.145,0.000,95,75.145,,,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,33.220,0.000,95,33.220,,,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,75.145,0.000,95,75.145,,,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,170.943,0.000,95,170.943,,,,,,
91304,SARSCOV2 VAC 5MCG/0.5ML IM,0.5 ML,191.919,0.000,95,191.919,,,,See COVID-19 vaccine pricing webpage for payment effective dates,,
91319,SARSCV2 VAC 10MCG TRS-SUC IM,0.3 ML,94.802,0.000,95,94.802,,,,See COVID-19 vaccine pricing webpage for payment effective dates,,
91320,SARSCV2 VAC 30MCG TRS-SUC IM,0.3 ML,168.367,0.000,95,168.367,,,,See COVID-19 vaccine pricing webpage for payment effective dates,,
91321,SARSCOV2 VAC 25 MCG/.25ML IM,0.25 ML,147.060,0.000,95,147.060,,,,See COVID-19 vaccine pricing webpage for payment effective dates,,
91322,SARSCOV2 VAC 50 MCG/0.5ML IM,0.5 ML,161.652,0.000,95,161.652,,,,See COVID-19 vaccine pricing webpage for payment effective dates,,
91323,SARSCOV2 VAC 10 MCG/0.2ML IM ,10 MCG,201.913,0.000,95,201.913,,,,See COVID-19 vaccine pricing webpage for payment effective dates,,
A9573,"Inj, gadopiclenol, 1 ml",1 ML,3.152,20.000,,,,,,,,
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.090,20.000,,,,,,,,
A9576,Inj prohance multipack,1 ML,1.369,20.000,,,,,,,,
A9577,Inj multihance,1 ML,1.791,20.000,,,,,,,,
A9578,Inj multihance multipack,1 ML,1.697,20.000,,,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.435,20.000,,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.752,20.000,,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.262,20.000,,,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1432.336,20.000,,,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,20.000,,,,,,"microCurie 100% AWP = $212.84
microCurie 100% WAC = $177.37",,
J0121,"Inj., omadacycline, 1 mg",1 MG,4.188,19.524,,,,,,Inflation-adjusted coinsurance,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.381,18.331,,,,,,Inflation-adjusted coinsurance,,
J0129,Abatacept injection,10 MG,45.859,20.000,,,,,,"""lesser of"" methodology applied",,
J0131,"Inj, acetaminophen (nos)",10 MG,0.050,20.000,,,,,,,,
J0132,Acetylcysteine injection,100 MG,0.389,20.000,,,,,,,,
J0133,Acyclovir injection,5 MG,0.035,20.000,,,,,,,,
J0134,Inj acetaminophen -fresenius,10 MG,0.050,20.000,,,,,,,,
J0136,"Inj, acetaminophen (b braun)",10 MG,0.047,20.000,,,,,,,,
J0137,"Inj, acetaminophen (hikma)",10 MG,0.048,20.000,,,,,,,,
J0138,Inj acetaminoph 10mg/ibu 3mg,10 MG/3MG,0.092,20.000,,,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.394,20.000,,,,,,,,
J0162,Inj epinephrine (fresenius),0.1 MG,0.361,20.000,,,,,,,,
J0163,Epinephrine in nacl (endo),0.1 MG,0.605,20.000,,,,,,,,
J0164,Epinephrine in nacl (baxter),0.1 MG,0.912,20.000,,,,,,,,
J0165,Inj epinephrine nos 0.1 mg,0.1 MG,0.234,20.000,,,,,,,,
J0166,Inj epinephrine (bpi),0.1 MG,0.669,20.000,,,,,,,,
J0167,Inj epinephrine (hospira),0.1 MG,1.422,20.000,,,,,,,,
J0168,Epinephrine (intl med sys),0.1 MG,2.555,20.000,,,,,,,,
J0169,Inj epinephrine (adrenalin),0.1 MG,0.783,20.000,,,,,,,,
J0174,"Inj, lecanemab-irmb, 1 mg",1 MG,1.342,20.000,,,,,,,,
J0175,"Inj, donanemab-azbt, 2 mg",2 MG,4.165,20.000,,,,,,,,
J0177,"Inj, aflibercept hd, 1 mg",1 MG,298.683,20.000,,,,,,,,
J0178,Aflibercept injection,1 MG,743.605,20.000,,,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,359.713,20.000,,,,,,,,
J0180,Agalsidase beta injection,1 MG,232.720,20.000,,,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.591,20.000,,,,,,,,
J0202,"Injection, alemtuzumab",1 MG,2544.937,20.000,,,,,,,,
J0206,Inj allopurinol sodium 1 mg,1 MG,4.074,20.000,,,,,,,,
J0217,Inj velmanase alfa-tycv 1 mg,1 MG,479.191,18.829,,,,,,Inflation-adjusted coinsurance,,
J0218,Inj olipudase alfa-rpcp 1mg,1 MG,404.947,20.000,,,,,,,,
J0219,Inj aval alfa-nqpt 4mg,4 MG,83.945,20.000,,,,,,,,
J0221,Lumizyme injection,10 MG,211.128,20.000,,,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,101.026,20.000,,,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,120.915,20.000,,,,,,,,
J0224,"Inj. lumasiran, 0.5 mg",0.5 MG,336.974,20.000,,,,,,,,
J0225,"Inj, vutrisiran, 1 mg",1 MG,5012.599,20.000,,,,,,,,
J0248,"Inj, remdesivir, 1 mg",1 MG,7.511,16.980,,,,,,Inflation-adjusted coinsurance,,
J0256,Alpha 1 proteinase inhibitor,10 MG,5.133,20.000,,,,,,,,
J0257,Glassia injection,10 MG,5.583,20.000,,,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.614,20.000,,,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,11.160,20.000,,,,,,,,
J0281,Inj aminocaproic acid 1 gram,1 GM,1.866,20.000,,,,,,,,
J0282,Amiodarone hcl,30 MG,0.400,20.000,,,,,,,,
J0283,"Inj, amiodarone (nexterone)",30 MG,2.358,13.162,,,,,,Inflation-adjusted coinsurance,,
J0285,Amphotericin b,50 MG,41.918,20.000,,,,,,,,
J0289,Amphotericin b liposome inj,10 MG,19.845,20.000,,,,,,,,
